id,uid,description,permission-granted,permission-revoked,original-time,save-time
31,1462578,违规用户名,0,2,2025/10/9 10:55,2025/10/11 11:09
32,1459027,违规用户名,0,2,2025/10/9 10:55,2025/10/11 11:09
33,748015,"根据用户申请（#RTGF853367）进行调整：\
解除用户申请的禁言",32768,0,2025/10/9 10:54,2025/10/11 11:09
34,794810,"根据用户申请（#GGTA401060）进行调整：\
解除用户申请的禁止各项权限",753664,0,2025/10/9 10:54,2025/10/11 11:09
35,1875630,用户资料违规、一次性邮箱、滥用评测资源,0,2,2025/10/9 10:52,2025/10/11 11:09
36,1004217,提交书面检讨,32768,0,2025/10/9 10:04,2025/10/11 11:09
37,1072900,用户资料违规,0,2,2025/10/9 9:52,2025/10/11 11:09
38,1206213,骚扰管理,0,65536,2025/10/8 19:30,2025/10/11 11:09
39,1370354,"根据用户申请（#WBVF303230）进行调整：\
用户申请",0,655360,2025/10/8 17:56,2025/10/11 11:09
40,820097,"根据用户申请（#EBAF163516）进行调整：\
解除用户申请的禁用图床",524288,0,2025/10/8 17:55,2025/10/11 11:09
41,1741027,多次直接照搬抄袭比赛官方题解提交题解,0,131072,2025/10/8 17:52,2025/10/11 11:09
42,774117,"根据用户申请（#HXUC925722）进行调整：\
禁言满一年",32768,0,2025/10/8 11:49,2025/10/11 11:09
43,1761076,发布扰乱社区秩序的无意义工单,0,32768,2025/10/8 11:46,2025/10/11 11:09
44,1017244,多次骚扰管理,0,65536,2025/10/7 21:09,2025/10/11 11:09
45,1398862,"根据用户申请（#RCQK811148）进行调整：\
禁言满 7 天",32768,0,2025/10/7 20:05,2025/10/11 11:09
46,943061,"根据用户申请（#RLRF400425）进行调整：\
禁言满 7 天",32768,0,2025/10/7 20:05,2025/10/11 11:09
47,796403,"根据用户申请（#BAKE687478）进行调整：\
禁言满 7 天",32768,0,2025/10/7 20:05,2025/10/11 11:09
48,1234445,因学术不端而棕名惩罚 14 天,0,0,2025/10/7 20:03,2025/10/11 11:09
49,747258,网校在读学员使用复活币解除封禁,2,0,2025/10/7 17:01,2025/10/11 11:09
50,1639041,大量提交劣质 AI 题解,0,131072,2025/10/7 16:12,2025/10/11 11:09
51,679581,专栏志愿者轮换,516,0,2025/10/7 12:46,2025/10/11 11:09
52,128570,专栏志愿者轮换,516,0,2025/10/7 12:46,2025/10/11 11:09
53,1752458,多次提交抄袭或者劣质的题解审核,0,131072,2025/10/7 12:27,2025/10/11 11:09
54,1461636,提交书面检讨,2,0,2025/10/7 8:54,2025/10/11 11:09
55,1808038,"根据用户申请（#TUQL837512）进行调整：\
用户申请",32768,0,2025/10/6 20:42,2025/10/11 11:09
56,777084,"根据用户申请（#XKFH730285）进行调整：\
满 7 天",32768,0,2025/10/6 20:42,2025/10/11 11:09
57,1242208,"根据用户申请（#JRUF419723）进行调整：\
用户申请",0,131072,2025/10/6 20:42,2025/10/11 11:09
58,1416713,"根据用户申请（#GCYK985852）进行调整：\
满 7 天",32768,0,2025/10/6 20:42,2025/10/11 11:09
59,1493769,"根据用户申请（#BGWW601497）进行调整：\
在【用户工单 - 申请权限变更】发布令人无法理解的权限申请，根据其申请类型进行处理",0,32768,2025/10/6 20:42,2025/10/11 11:09
60,1025679,"根据用户申请（#JJLV791230）进行调整：\
满一年",131072,0,2025/10/6 20:41,2025/10/11 11:09
61,845400,抄袭他人博客文章,0,131072,2025/10/6 18:05,2025/10/11 11:09
62,1032391,提交书面检讨,98306,0,2025/10/6 17:37,2025/10/11 11:09
63,1898408,上传严重涉政头像,0,2,2025/10/6 17:24,2025/10/11 11:09
64,1531353,上传擦边图片,0,524288,2025/10/6 17:23,2025/10/11 11:09
65,1024595,上传擦边图片,0,524288,2025/10/6 17:22,2025/10/11 11:09
66,1902319,上传纳粹头像,0,2,2025/10/6 17:21,2025/10/11 11:10
67,1640604,上传纳粹图片,0,2,2025/10/6 17:20,2025/10/11 11:10
68,1708378,上传纳粹头像,0,2,2025/10/6 17:20,2025/10/11 11:10
69,1709475,上传纳粹头像,0,2,2025/10/6 17:19,2025/10/11 11:10
70,1123435,上传纳粹图片,0,2,2025/10/6 17:19,2025/10/11 11:10
71,1906996,上传纳粹头像,0,2,2025/10/6 17:18,2025/10/11 11:10
72,1049018,因学术不端而棕名惩罚 14 天,0,0,2025/10/6 11:54,2025/10/11 11:10
73,1800770,因学术不端而棕名惩罚 14 天,0,0,2025/10/6 10:02,2025/10/11 11:10
74,1510767,因学术不端而棕名惩罚 14 天,0,0,2025/10/6 10:00,2025/10/11 11:10
75,1004217,扰乱社区秩序,0,32768,2025/10/6 9:50,2025/10/11 11:10
76,1370565,根据用户申请（#GJXW562613）进行调整,32768,0,2025/10/5 23:12,2025/10/11 11:10
77,1020607,根据用户申请（#HQWR557156）进行调整,0,32768,2025/10/5 23:12,2025/10/11 11:10
78,1226696,根据用户申请（#HAVK639632）进行调整,0,32768,2025/10/5 23:12,2025/10/11 11:10
79,1267325,根据用户申请（#RCUT489114）进行调整,0,32768,2025/10/5 23:12,2025/10/11 11:10
80,774851,根据用户申请（#UHAY745328）进行调整,0,32768,2025/10/5 23:11,2025/10/11 11:10
81,799987,发布辱骂工单,0,32768,2025/10/5 22:04,2025/10/11 11:10
82,756756,解除用户申请的禁言,32768,0,2025/10/5 20:37,2025/10/11 11:10
83,1023211,无意义工单（7 天）,0,32768,2025/10/5 16:30,2025/10/11 11:10
84,1778382,辱骂管理,0,65536,2025/10/4 23:12,2025/10/11 11:10
85,1691170,提交书面检讨,2,0,2025/10/4 21:36,2025/10/11 11:10
86,794146,提交书面检讨,2,0,2025/10/4 21:35,2025/10/11 11:10
87,1192776,提交书面检讨,2,0,2025/10/4 21:35,2025/10/11 11:10
88,1350383,提交书面检讨,2,0,2025/10/4 21:32,2025/10/11 11:10
89,546455,满一年,2,0,2025/10/4 21:31,2025/10/11 11:10
90,1243041,提交书面检讨,2,0,2025/10/4 21:13,2025/10/11 11:10
91,1025153,满一年,65536,0,2025/10/4 21:12,2025/10/11 11:10
92,964091,提交书面检讨,2,0,2025/10/4 21:05,2025/10/11 11:10
93,1001552,提交书面检讨,2,0,2025/10/4 21:01,2025/10/11 11:10
94,1658518,提交书面检讨,2,0,2025/10/4 20:46,2025/10/11 11:10
95,790275,"根据用户申请（#LJTH689653）进行调整：\
用户申请",0,65536,2025/10/4 20:30,2025/10/11 11:10
96,676064,"根据用户申请（#FLFH043115）进行调整：\
禁言满 7 天",32768,0,2025/10/4 20:29,2025/10/11 11:10
97,1431028,"根据用户申请（#RBUF845429）进行调整：\
禁言满 7 天",32768,0,2025/10/4 20:29,2025/10/11 11:10
98,1257741,赛时答疑帖灌水,0,32768,2025/10/4 16:02,2025/10/11 11:10
99,931366,赛时答疑帖灌水,0,32768,2025/10/4 16:02,2025/10/11 11:10
100,929285,支付费用后解封,2,0,2025/10/4 15:08,2025/10/11 11:10
101,794146,使用AI生成文章,0,131072,2025/10/11 12:48,2025/10/11 13:15
102,576074,无意义工单（7天）,0,32768,2025/10/11 14:31,2025/10/11 14:42
103,1795729,因学术不端而棕名惩罚 14 天,0,0,2025/10/11 16:58,2025/10/11 17:05
104,1437818,无意义工单（7 天）,0,32768,2025/10/11 20:27,2025/10/11 20:46
105,1242208,发布无意义回复（7 天）,0,32768,2025/10/11 20:05,2025/10/11 20:46
106,1695884,未阅读置顶帖发表工单（7 天）,0,32768,2025/10/11 22:40,2025/10/11 22:48
107,1835334,1891559 大号,0,2,2025/10/11 22:34,2025/10/11 22:48
108,1891559,无意义工单情节严重,0,2,2025/10/11 22:22,2025/10/11 22:48
109,1891559,无意义工单,0,32768,2025/10/11 22:22,2025/10/11 22:48
110,1383979,无意义工单（7 天）,0,32768,2025/10/11 22:20,2025/10/11 22:48
111,787357,禁言 1 年后继续提交无意义的申请解禁工单，直接封禁,0,2,2025/10/12 11:41,2025/10/12 11:44
112,1421933,"根据用户申请（#CGJB276166）进行调整：\
解除用户申请的禁止专栏",131072,0,2025/10/12 11:40,2025/10/12 11:44
113,556975,"根据用户申请（#FRYK273036）进行调整：\
使用奖项认证复活币",32768,0,2025/10/12 11:40,2025/10/12 11:44
114,1038161,"根据用户申请（#XFGL073456）进行调整：\
禁言满 7 天",32768,0,2025/10/12 11:39,2025/10/12 11:44
115,1328360,"根据用户申请（#HEAR116259）进行调整：\
使用奖项认证复活币",32768,0,2025/10/12 11:39,2025/10/12 11:44
116,1803651,"根据用户申请（#GWEB869688）进行调整：\
解除用户申请的禁止各项权限",753664,0,2025/10/12 11:38,2025/10/12 11:44
117,1012483,"根据用户申请（#VBFH177684）进行调整：\
解除用户申请的禁言",32768,0,2025/10/12 11:38,2025/10/12 11:44
118,1023732,根据家长控制，申请关闭社区功能。,0,98304,2025/10/12 11:36,2025/10/12 11:44
119,1023732,打开私信功能,65536,0,2025/10/12 15:34,2025/10/12 15:35
120,1414804,辱骂管理,0,32768,2025/10/12 18:37,2025/10/12 18:40
121,576467,专栏志愿者轮换,516,0,2025/10/12 19:44,2025/10/12 19:45
122,516346,专栏志愿者轮换,516,0,2025/10/12 19:44,2025/10/12 19:45
123,431658,专栏志愿者轮换,516,0,2025/10/12 19:44,2025/10/12 19:45
124,844951,专栏志愿者轮换,516,0,2025/10/12 19:44,2025/10/12 19:45
125,477443,专栏志愿者轮换,516,0,2025/10/12 19:44,2025/10/12 19:45
126,183603,专栏志愿者轮换,516,0,2025/10/12 19:44,2025/10/12 19:45
127,340502,专栏志愿者轮换,516,0,2025/10/12 19:44,2025/10/12 19:45
128,324666,专栏志愿者轮换,516,0,2025/10/12 19:44,2025/10/12 19:45
129,603277,专栏志愿者轮换,516,0,2025/10/12 19:44,2025/10/12 19:45
130,90706,专栏志愿者轮换,516,0,2025/10/12 19:44,2025/10/12 19:45
131,361141,专栏志愿者轮换,516,0,2025/10/12 19:44,2025/10/12 19:45
132,511639,题解志愿者轮换，感谢贡献,0,516,2025/10/12 19:43,2025/10/12 19:45
133,562119,题解志愿者轮换，感谢贡献,0,516,2025/10/12 19:43,2025/10/12 19:45
134,328405,题解志愿者轮换，感谢贡献,0,516,2025/10/12 19:43,2025/10/12 19:45
135,468657,题解志愿者轮换，感谢贡献,0,516,2025/10/12 19:43,2025/10/12 19:45
136,264360,题解志愿者轮换，感谢贡献,0,516,2025/10/12 19:43,2025/10/12 19:45
137,367296,题解志愿者轮换，感谢贡献,0,516,2025/10/12 19:43,2025/10/12 19:45
138,87064,月赛审核志愿者轮换，感谢贡献,0,556,2025/10/12 19:38,2025/10/12 19:45
139,1421031,辱骂管理,0,32768,2025/10/12 21:07,2025/10/12 21:23
140,1275893,发布多条违规链接,0,2,2025/10/13 10:17,2025/10/13 10:23
141,1886956,犇犇发布违规超链接,0,32768,2025/10/13 10:09,2025/10/13 10:23
142,1621086,骚扰他人,0,65536,2025/10/13 11:07,2025/10/13 11:19
143,793805,犇犇多条违规内容,0,32768,2025/10/13 11:06,2025/10/13 11:19
144,1487182,大量不文明发言,0,32768,2025/10/13 11:01,2025/10/13 11:19
145,1231078,工单发表无意义回复,0,32768,2025/10/13 10:50,2025/10/13 11:19
146,167228,违规用户名,0,2,2025/10/13 10:43,2025/10/13 11:19
147,92552,违规用户名,0,2,2025/10/13 10:41,2025/10/13 11:19
148,74434,用户名违规,0,2,2025/10/13 10:36,2025/10/13 11:19
149,730276,"根据用户申请（#XKLA814277）进行调整：\
用户申请",0,32768,2025/10/13 21:27,2025/10/13 21:32
150,1305371,"根据用户申请（#ERKV540200）进行调整：\
禁言满 7 天",32768,0,2025/10/13 21:27,2025/10/13 21:32
151,774851,"根据用户申请（#FGRR334575）进行调整：\
解除用户申请的禁言",32768,0,2025/10/13 21:27,2025/10/13 21:32
152,1847022,"根据用户申请（#YXXY986241）进行调整：\
用户申请",0,524288,2025/10/13 21:27,2025/10/13 21:32
153,1244208,"根据用户申请（#WBBQ364440）进行调整：\
禁言满 7 天",32768,0,2025/10/13 21:26,2025/10/13 21:32
154,1791952,"根据用户申请（#LFUQ256875）进行调整：\
用户申请",0,753664,2025/10/13 21:26,2025/10/13 21:32
155,305069,"根据用户申请（#RCGF205622）进行调整：\
用户申请",0,32768,2025/10/13 21:26,2025/10/13 21:32
156,790275,"根据用户申请（#RBQC067763）进行调整：\
解除用户申请的禁私信",65536,0,2025/10/13 21:25,2025/10/13 21:32
157,940009,"根据用户申请（#BCLT452428）进行调整：\
解除用户申请的禁言",32768,0,2025/10/13 21:25,2025/10/13 21:32
158,1656943,"根据用户申请（#YCWF256385）进行调整：\
用户申请",0,753664,2025/10/13 21:25,2025/10/13 21:32
159,1812293,根据用户申请（#QEUH682267）进行调整,0,753664,2025/10/15 1:59,2025/10/15 6:32
160,1416859,根据用户申请（#HETA840473）进行调整,32768,0,2025/10/15 1:59,2025/10/15 6:32
161,1488835,根据用户申请（#CQKL346568）进行调整,0,98304,2025/10/15 1:59,2025/10/15 6:32
162,7528,权限调整,0,512,2025/10/15 0:14,2025/10/15 6:32
163,1525334,无意义工单,0,32768,2025/10/14 23:34,2025/10/15 6:32
164,1626826,发布辱骂工单,0,32768,2025/10/14 23:31,2025/10/15 6:32
165,1024331,在管理发布的学术讨论下发前排等无意义回复（7 天）,0,32768,2025/10/15 10:10,2025/10/15 11:56
166,1207677,在管理发布的学术讨论下发前排等无意义回复（7 天）,0,32768,2025/10/15 10:10,2025/10/15 11:56
167,1740981,在管理发布的学术讨论下发前排等无意义回复（7 天）,0,32768,2025/10/15 10:10,2025/10/15 11:56
168,981858,在管理发布的学术讨论下发前排等无意义回复（7 天）,0,32768,2025/10/15 10:10,2025/10/15 11:56
169,1351318,在管理发布的学术讨论下发前排等无意义回复（7 天）,0,32768,2025/10/15 10:10,2025/10/15 11:56
170,1149150,在管理发布的学术讨论下发前排等无意义回复（7 天）,0,32768,2025/10/15 10:10,2025/10/15 11:56
171,1364336,在管理发布的学术讨论下发前排等无意义回复（7 天）,0,32768,2025/10/15 10:10,2025/10/15 11:56
172,1399537,在管理发布的学术讨论下发前排等无意义回复（7 天）,0,32768,2025/10/15 10:10,2025/10/15 11:56
173,1653348,在管理发布的学术讨论下发前排等无意义回复（7 天）,0,32768,2025/10/15 10:10,2025/10/15 11:56
174,1449703,"根据用户申请（#KJUK847032）进行调整：\
用户申请",0,98304,2025/10/15 15:13,2025/10/15 15:26
175,929408,"根据用户申请（#JHQE371861）进行调整：\
用户申请",0,524288,2025/10/15 15:13,2025/10/15 15:26
176,1810625,根据用户申请（#YEEK313473）进行调整,32768,0,2025/10/15 17:37,2025/10/15 19:13
177,1489439,提交书面检讨,2,0,2025/10/16 12:49,2025/10/16 13:09
178,1612034,犇犇发表不适合言论,0,32768,2025/10/16 11:46,2025/10/16 13:09
179,1379804,根据用户申请（#QWLJ416150）进行调整,0,98304,2025/10/16 13:10,2025/10/16 13:29
180,1636127,"根据用户申请（#TBWY575514）进行调整：\
禁言满 7 天",32768,0,2025/10/16 14:13,2025/10/16 14:25
181,1696370,"根据用户申请（#CKCQ778039）进行调整：\
用户申请",0,32768,2025/10/16 14:13,2025/10/16 14:25
182,1321720,发布无意义犇犇,0,32768,2025/10/16 19:46,2025/10/16 19:47
183,930075,使用奖项认证复活币,32768,0,2025/10/16 20:39,2025/10/16 20:55
184,1631982,抄袭大量题解,0,2,2025/10/16 20:59,2025/10/16 21:21
185,1492214,"根据用户申请（#QLQV428609）进行调整：\
禁言满 7 天",32768,0,2025/10/16 21:40,2025/10/16 21:43
186,1267325,"根据用户申请（#GUYE172501）进行调整：\
解除用户申请的禁言",32768,0,2025/10/16 21:39,2025/10/16 21:43
187,1271480,"根据用户申请（#UTYC284951）进行调整：\
用户申请",0,32768,2025/10/16 21:39,2025/10/16 21:43
188,1006023,"根据用户申请（#GTVH287921）进行调整：\
用户申请",0,32768,2025/10/16 21:39,2025/10/16 21:43
189,1023211,根据用户申请（#JVXF565884）进行调整,32768,0,2025/10/17 15:43,2025/10/17 15:48
190,561714,根据用户申请（#JXBW833113）进行调整,32768,0,2025/10/17 15:41,2025/10/17 15:48
191,970047,因学术不端而棕名惩罚 14 天,0,0,2025/10/17 14:51,2025/10/17 15:48
192,1821577,因学术不端而棕名惩罚 14 天,0,0,2025/10/17 19:10,2025/10/17 19:13
193,1050483,根据用户申请（#ARJB700019）进行调整,32768,0,2025/10/17 21:37,2025/10/17 21:40
194,1640604,提交书面检讨,2,0,2025/10/17 22:36,2025/10/17 23:40
195,1647598,发布淫秽色情回复,0,2,2025/10/18 1:19,2025/10/18 7:33
196,1731849,提交书面检讨,2,0,2025/10/18 12:46,2025/10/18 12:47
197,1378303,提交书面检讨,2,0,2025/10/18 12:45,2025/10/18 12:47
198,1401649,提交书面检讨,2,0,2025/10/18 12:43,2025/10/18 12:47
199,916915,强制更名,2,0,2025/10/18 13:01,2025/10/18 13:16
200,1048109,提交书面检讨,2,0,2025/10/18 13:00,2025/10/18 13:16
201,1155517,提交书面检讨,2,0,2025/10/18 13:00,2025/10/18 13:16
202,1042132,提交书面检讨,2,0,2025/10/18 12:58,2025/10/18 13:16
203,1363223,提交书面检讨,2,0,2025/10/18 12:57,2025/10/18 13:16
204,1153548,提交书面检讨,2,0,2025/10/18 12:53,2025/10/18 13:16
205,750292,提交书面检讨,524288,0,2025/10/18 12:52,2025/10/18 13:16
206,1001535,提交书面检讨,2,0,2025/10/18 12:49,2025/10/18 13:16
207,1570347,提交书面检讨,2,0,2025/10/18 12:48,2025/10/18 13:16
208,1356470,因学术不端而棕名惩罚 14 天,0,0,2025/10/18 15:01,2025/10/18 15:06
209,1893857,在多个长时限试题中提交无意义的 AI 代码，滥用评测资源,0,2,2025/10/18 14:58,2025/10/18 15:06
210,1144621,因学术不端而棕名惩罚 14 天,0,0,2025/10/18 14:49,2025/10/18 15:06
211,1387250,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/18 21:02,2025/10/18 21:06
212,875671,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/18 21:02,2025/10/18 21:06
213,1492671,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/18 21:02,2025/10/18 21:06
214,1288333,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/18 21:02,2025/10/18 21:06
215,1246903,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/18 21:02,2025/10/18 21:06
216,1381480,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/18 20:51,2025/10/18 21:06
217,921567,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/18 20:51,2025/10/18 21:06
218,1052844,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/18 20:51,2025/10/18 21:06
219,1769771,"根据用户申请（#FJWX489036）进行调整：\
用户申请",0,98304,2025/10/18 22:05,2025/10/18 22:24
220,1491661,"根据用户申请（#KRGQ798573）进行调整：\
解除用户申请的禁止专栏",131072,0,2025/10/18 22:05,2025/10/18 22:24
221,1242208,"根据用户申请（#HTTY908247）进行调整：\
禁言满 7 天",32768,0,2025/10/18 22:05,2025/10/18 22:24
222,1570347,"根据用户申请（#RAUT354741）进行调整：\
解除用户申请的禁言",32768,0,2025/10/18 22:05,2025/10/18 22:24
223,783147,"根据用户申请（#YGAU274511）进行调整：\
禁言满一年",32768,0,2025/10/18 22:05,2025/10/18 22:24
224,1788246,"根据用户申请（#RUAL438715）进行调整：\
用户申请",0,32768,2025/10/18 22:05,2025/10/18 22:24
225,1795389,"根据用户申请（#XEXE251394）进行调整：\
用户申请",0,32768,2025/10/18 22:04,2025/10/18 22:24
226,1634119,学术版讨论正在进行的比赛（7 天）,0,32768,2025/10/19 11:39,2025/10/19 11:55
227,1277129,学术版讨论正在进行的比赛（7 天）,0,32768,2025/10/19 11:39,2025/10/19 11:55
228,1066617,学术版讨论正在进行的比赛,0,32768,2025/10/19 11:39,2025/10/19 11:55
229,894650,提交书面检讨,2,0,2025/10/19 11:34,2025/10/19 11:55
230,1122180,提交书面检讨,2,0,2025/10/19 13:12,2025/10/19 13:15
231,1402257,"根据用户申请（#UQTQ574348）进行调整：\
解除用户申请的禁止私信",65536,0,2025/10/19 13:08,2025/10/19 13:15
232,1788579,"根据用户申请（#JUAW218763）进行调整：\
用户申请",0,32768,2025/10/19 13:08,2025/10/19 13:15
233,1226696,"根据用户申请（#UREL518388）进行调整：\
解除用户申请的禁言",32768,0,2025/10/19 13:08,2025/10/19 13:15
234,1695884,"根据用户申请（#GAJH275282）进行调整：\
禁言满 7 天",32768,0,2025/10/19 13:08,2025/10/19 13:15
235,1444455,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:07,2025/10/19 13:15
236,849494,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
237,1063127,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
238,1448520,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
239,754021,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
240,1752458,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
241,1277913,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
242,976198,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
243,1444564,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
244,1388686,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
245,1300229,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
246,1236863,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
247,944843,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
248,1592513,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
249,676590,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
250,416160,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
251,1287677,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
252,1074806,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
253,1639275,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
254,1617786,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
255,1405718,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
256,715948,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
257,1274550,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
258,1666970,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
259,1801087,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 13:06,2025/10/19 13:15
260,1379747,因学术不端而棕名惩罚 14 天,0,0,2025/10/19 13:46,2025/10/19 14:09
261,1001535,多次比赛涉嫌使用 AI 作弊，且有多次封禁前科,0,2,2025/10/19 14:25,2025/10/19 14:29
262,1503776,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 15:29,2025/10/19 15:36
263,1288382,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 15:29,2025/10/19 15:36
264,1378025,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 15:29,2025/10/19 15:36
265,1296332,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 15:29,2025/10/19 15:36
266,1630597,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 15:29,2025/10/19 15:36
267,992990,在管理明确禁止无意义回复的置顶讨论中发布无意义回复（7 天）,0,32768,2025/10/19 15:29,2025/10/19 15:36
